mH_GeV 	H_gg 	    H_gamgam 	H_Zgam  	H_WW 	    H_ZZ 	    Total_Width_GeV
580.0 	4.55E-04	5.92E-08	4.35E-06	5.55E-01	2.70E-01	1.10E+02
600.0 	4.24E-04	5.03E-08	3.84E-06	5.58E-01	2.72E-01	1.23E+02
620.0 	3.96E-04	4.82E-08	3.40E-06	5.62E-01	2.75E-01	1.36E+02
640.0 	3.69E-04	5.29E-08	3.03E-06	5.66E-01	2.77E-01	1.50E+02
650.0 	3.57E-04	5.82E-08	2.86E-06	5.68E-01	2.79E-01	1.58E+02
660.0 	3.45E-04	6.60E-08	2.70E-06	5.70E-01	2.80E-01	1.65E+02
680.0 	3.22E-04	8.65E-08	2.42E-06	5.73E-01	2.82E-01	1.82E+02
700.0 	3.01E-04	1.11E-07	2.18E-06	5.77E-01	2.85E-01	1.99E+02
720.0 	2.81E-04	1.38E-07	1.96E-06	5.81E-01	2.87E-01	2.17E+02
740.0 	2.63E-04	1.65E-07	1.77E-06	5.84E-01	2.89E-01	2.37E+02
750.0 	2.55E-04	1.79E-07	1.69E-06	5.86E-01	2.90E-01	2.47E+02
760.0 	2.46E-04	1.92E-07	1.61E-06	5.88E-01	2.91E-01	2.58E+02
780.0 	2.31E-04	2.18E-07	1.46E-06	5.91E-01	2.94E-01	2.80E+02
800.0 	2.16E-04	2.44E-07	1.33E-06	5.94E-01	2.96E-01	3.04E+02
820.0 	2.03E-04	2.69E-07	1.22E-06	5.98E-01	2.97E-01	3.30E+02
840.0 	1.90E-04	2.93E-07	1.12E-06	6.01E-01	2.99E-01	3.57E+02
850.0 	1.84E-04	3.04E-07	1.07E-06	6.02E-01	3.00E-01	3.71E+02
860.0 	1.78E-04	3.15E-07	1.02E-06	6.04E-01	3.01E-01	3.86E+02
880.0 	1.67E-04	3.37E-07	9.44E-07	6.06E-01	3.03E-01	4.16E+02
900.0 	1.57E-04	3.58E-07	8.72E-07	6.09E-01	3.04E-01	4.49E+02
920.0 	1.48E-04	3.77E-07	8.07E-07	6.12E-01	3.06E-01	4.84E+02
940.0 	1.39E-04	3.93E-07	7.49E-07	6.14E-01	3.07E-01	5.21E+02
950.0 	1.34E-04	4.00E-07	7.22E-07	6.16E-01	3.08E-01	5.40E+02
960.0 	1.30E-04	4.08E-07	6.97E-07	6.17E-01	3.09E-01	5.60E+02
980.0 	1.23E-04	4.27E-07	6.50E-07	6.19E-01	3.10E-01	6.02E+02
1000.0 	1.15E-04	4.39E-07	6.08E-07	6.21E-01	3.11E-01	6.47E+02
